nhs_trust_name,acute,non_acute,ambulance_trust,closed_disbanded_merged,dexa_count_2223,dexa_count_2324,dexa_count_2425,fls_total,cdc_total,nnhip_total
Herefordshire and Worcestershire Health and Care NHS Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
Hertfordshire Community NHS Trust,0,1,0,0,0.0,0.0,0.0,0,0,2
Hertfordshire Partnership University NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
Homerton Healthcare NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,0,0,0
Hounslow and Richmond Community Healthcare NHS Trust,0,0,0,1,0.0,0.0,0.0,0,0,0
Hull University Teaching Hospitals NHS Trust,1,0,0,0,0.0,0.0,0.0,1,2,0
Humber Teaching NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
Imperial College Healthcare NHS Trust,1,0,0,0,1.0,1.0,1.0,1,2,1
Isle of Wight NHS Trust,1,0,0,0,0.0,0.0,1.0,0,1,0
James Paget University Hospitals NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,1,2,0
Kent Community Health NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,1
Kent and Medway NHS and Social Care Partnership Trust,0,1,0,0,0.0,0.0,0.0,0,0,1
Kettering General Hospital NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,0,1,0
Kingston and Richmond NHS Foundation Trust,0,0,0,0,0.0,0.0,1.0,0,1,0
King’s College Hospital NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,1,0,1
Lancashire Teaching Hospitals NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,0,1,0
Lancashire and South Cumbria NHS Foundation Trust,0,0,0,0,0.0,0.0,0.0,0,0,1
Leeds Community Healthcare NHS Trust,0,1,0,0,0.0,0.0,0.0,0,0,1
Leeds Teaching Hospitals NHS Trust,1,0,0,0,2.0,2.0,0.0,0,3,1
Leeds and York Partnership NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,1
Leicestershire Partnership NHS Trust,0,1,0,0,0.0,0.0,0.0,0,0,1
Lewisham and Greenwich NHS Trust,1,0,0,0,2.0,2.0,2.0,2,2,0
Lincolnshire Community Health Services NHS Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
Lincolnshire Partnership NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
Liverpool Heart and Chest Hospital NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,0,0,0
Liverpool University Hospitals NHS Foundation Trust,1,0,0,0,2.0,2.0,2.0,0,0,1
Liverpool Women’s NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,0,0,0
London Ambulance Service NHS Trust,0,0,1,0,0.0,0.0,0.0,0,0,0
London North West University Healthcare NHS Trust,1,0,0,0,0.0,1.0,2.0,1,1,0
Maidstone and Tunbridge Wells NHS Trust,1,0,0,0,1.0,1.0,1.0,0,1,0
Manchester University NHS Foundation Trust,1,0,0,0,3.0,4.0,5.0,0,2,0
Medway NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,1,2,0
Mersey Care NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,1
Mersey and West Lancashire Teaching Hospitals NHS Trust,1,0,0,0,0.0,0.0,2.0,0,2,1
Mid Cheshire Hospitals NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,0,1,0
Mid Yorkshire Hospitals NHS Trust,0,0,0,0,2.0,2.0,0.0,0,1,1
Mid and South Essex NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,3,4,0
Midlands Partnership University NHS Foundation Trust,0,0,0,0,0.0,0.0,0.0,1,0,0
Milton Keynes University Hospital NHS Foundation Trust,1,0,0,0,0.0,0.0,1.0,1,2,0
Moorfields Eye Hospital NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,0,0,0
Norfolk Community Health and Care NHS Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
Norfolk and Norwich University Hospitals NHS Foundation Trust,1,0,0,0,2.0,2.0,2.0,0,1,0
Norfolk and Suffolk NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
North Bristol NHS Trust,1,0,0,0,0.0,0.0,0.0,1,1,2
North Cumbria Integrated Care NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,0,1,0
North East Ambulance Service NHS Foundation Trust,0,0,1,0,0.0,0.0,0.0,0,0,0
North East London NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,1
North London NHS Foundation Trust,0,0,0,0,0.0,0.0,0.0,0,0,0
North Middlesex University Hospital NHS Trust,0,0,0,1,0.0,0.0,0.0,1,0,0
North Staffordshire Combined Healthcare NHS Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
North Tees and Hartlepool NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,1,2,1
North West Ambulance Service NHS Trust,0,0,1,0,0.0,0.0,0.0,0,0,0
North West Anglia NHS Foundation Trust,1,0,0,0,2.0,2.0,2.0,1,1,1
North West Boroughs Healthcare NHS Foundation Trust,0,0,0,1,0.0,0.0,0.0,0,0,0
