CDC Approved Site List 10.11.25,,,,,,,,,,,
Region,ICB,CDC ODS site code,Name of CDC,Host Trust ,Updated NHS Trust name,CDC Trust Code, CDC Archetype,Location,Post code for Permanent Approved Site,Lat,Lon
London,South West London ICB,A6U3A,Purley CDC,Croydon Health Services NHS Trust,Croydon Health Services NHS Trust,RJ6,Spoke,Purley,CR8 2YL,51.34074,-0.11447
London,South West London ICB,K6P8Q,Queen Mary's Hospital Roehampton CDC ,St Georges University Hospitals NHS Foundation Trust,St George’s University Hospitals NHS Foundation Trust,RJ7,Large,London,SW15 5PN,51.45554,-0.24174
London,South East London ICB,O4I7J,Queen Mary's Sidcup CDC,Lewisham and Greenwich NHS Trust,Lewisham and Greenwich NHS Trust,RJ2,Spoke,Kent,DA14 6LT,51.41904,0.10169
London,North East London ICB,T4V9E,St George's Hornchurch CDC,"Barking, Havering & Redbridge University NHS Trust","Barking, Havering and Redbridge University Hospitals NHS Trust",RF4,Spoke,Hornchurch,RM12 6RS,51.54755,0.2175
London,North West London ICB,Y1E7Q,Wembley CDC,Imperial College Healthcare NHS Trust,Imperial College Healthcare NHS Trust,RYJ,Spoke,Southall,HA0 4UZ,51.54972,-0.30676
London,North West London ICB,Q5X6M,Willesden CDC,Imperial College Healthcare NHS Trust,Imperial College Healthcare NHS Trust,RYJ,Spoke,Southall,NW10 3RY,51.54286,-0.23553
London,North Central London ICB,P5B6O,Wood Green CDC,Whittington Health NHS Trust,Whittington Health NHS Trust,RKE,Spoke,London,N22 6YQ,51.59453,-0.10955
Midlands,Black Country ICB,M4E4R,Brierley Hill CDC,The Dudley Group NHS Foundation Trust,The Dudley Group NHS Foundation Trust,RNA,Spoke,Brierley Hill,DY5 1RU,52.4817,-2.11768
Midlands,Nottingham and Nottinghamshire ICB,H5P4W,Broad Marsh CDC,Nottingham University Hospitals NHS Trust,Nottingham University Hospitals NHS Trust,RX1,Standard,Nottingham City,NG1 7DD,52.95093,-1.14906
Midlands,Black Country ICB,C0Z1C,Cannock Chase CDC,The Royal Wolverhampton NHS Trust,The Royal Wolverhampton NHS Trust,RL4,Large,Cannock,WS11 5XY,52.69324,-2.03061
Midlands,Black Country ICB,D2O0B,Corbett CDC,The Dudley Group NHS Foundation Trust,The Dudley Group NHS Foundation Trust,RNA,Standard,Stourbridge,DY8 4AP,52.46541,-2.1464
Midlands,Northamptonshire ICB,A7B1T,Corby CDC,Kettering General Hospital,Kettering General Hospital NHS Foundation Trust,RNQ,Standard,Corby,NN17 2FD,52.49175,-0.7113
Midlands,Coventry & Warwickshire ICB,D4X8G,Coventry City Community CDC,University Hospitals Coventry And Warwickshire NHS Trust,University Hospitals Coventry and Warwickshire NHS Trust,RKB,Standard,Coventry,CV1 4FS,52.413,-1.508
Midlands,Derby and Derbyshire ICB,F2Z7L,Florence Nightingale Community Hospital CDC,University Hospitals of Derby and Burton NHS Foundation Trust,University Hospitals of Derby and Burton NHS Foundation Trust,RTG,Standard,Derby,DE1 2QY,52.91421,-1.46857
Midlands,Lincolnshire ICB,F9S8Z,Grantham CDC,United Lincolnshire Hospitals NHS Trust,United Lincolnshire Hospitals NHS Trust,RWD,Standard,Grantham,NG31 8HX,52.92213,-0.65144
Midlands,Black Country ICB,G5U3D,Guest CDC,The Dudley Group NHS Foundation Trust,The Dudley Group NHS Foundation Trust,RNA,Spoke,Dudley,DY1 4SE,52.51908,-2.0727
Midlands,"Leicester, Leicestershire & Rutland ICB",Z4J1H,Hinckley CDC,University Hospitals of Leicester NHS Trust,University Hospitals of Leicester NHS Trust,RWE,Large,Hinckley,LE10 1AG,52.53975,-1.3683
Midlands,Derby and Derbyshire ICB,I0I2G,Ilkeston Community Hospital CDC,University Hospitals of Derby and Burton NHS Foundation Trust,University Hospitals of Derby and Burton NHS Foundation Trust,RTG,Standard,Ilkeston,DE7 8LN,52.98809,-1.32082
Midlands,Herefordshire & Worcestershire ICB,F3Y9S,Kidderminster Treatment Centre CDC,Worcestershire Acute Hospital NHS Trust,Worcestershire Acute Hospitals NHS Trust,RWP,Spoke,Kidderminster,DY11 6RJ,52.38517,-2.26134
Midlands,Northamptonshire ICB,Z5K5V,Kings Heath CDC,Northampton General Hospital NHS Trust,Northampton General Hospital NHS Trust,RNS,Spoke,Northampton,NN5 7LN,52.25684,-0.92229
Midlands,"Leicester, Leicestershire & Rutland ICB",I1J0M,Leicester CDC ,University's Hospitals of Leicester NHS Trust,University Hospitals of Leicester NHS Trust,RWE,Spoke,Leicester,LE5 4PW,52.62993,-1.08176
Midlands,Lincolnshire ICB,J3K0N,Lincoln CDC,United Lincolnshire Hospital NHS Trust,United Lincolnshire Hospitals NHS Trust,RWD,Standard,Lincoln,LN6 7DJ,53.22758,-0.55858
Midlands,Nottingham and Nottinghamshire ICB,Y5S3B,Mansfield CDC,Sherwood Forest Hospitals NHS Foundation Trust,Sherwood Forest Hospitals NHS Foundation Trust,RK5,Large,Mansfield,NG18 5QJ,53.1412,-1.20615
Midlands,Birmingham and Solihull ICB,R8S1A,North Solihull CDC,University Hospitals Birmingham NHS Foundation Trust,University Hospitals Birmingham NHS Foundation Trust,RRK,Large,Chelmsley Wood,B37 5TT ,52.48035,-1.73933
Midlands,Northamptonshire ICB,M7Y2A,Northampton CDC,Northampton General Hospital NHS Trust,Northampton General Hospital NHS Trust,RNS,Large,Northampton,NN1 1EE  ,52.23393,-0.90573
Midlands,Coventry & Warwickshire ICB,H6P3S,Rugby St Cross CDC,University Hospitals Coventry And Warwickshire NHS Trust,University Hospitals Coventry and Warwickshire NHS Trust,RKB,Spoke,Rugby,CV22 5PX,52.36528,-1.25903
Midlands,Derby and Derbyshire ICB,E6F5S,Sir Robert Peel CDC,University Hospitals of Derby and Burton NHS Foundation Trust,University Hospitals of Derby and Burton NHS Foundation Trust,RTG,Spoke,Tamworth,B78 3NG,52.62068,-1.72386
Midlands,Lincolnshire ICB,Z2R7M,Skegness CDC,United Lincolnshire Hospital Trust,United Lincolnshire Hospitals NHS Trust,RWD,Standard,Skegness,PE25 3RR,53.14521,0.32881
Midlands,Birmingham and Solihull ICB,L8U5A,South Birmingham CDC,University Hospitals Birmingham NHS Foundation Trust,University Hospitals Birmingham NHS Foundation Trust,RRK,Standard,Maypole,B14 5JF,52.40513,-1.88637
Midlands,Coventry & Warwickshire ICB,L5Y8X,South Warwickshire CDC,South Warwickshire NHS Foundation Trust,South Warwickshire NHS Foundation Trust,RJC,Standard,Stratford-upon-Avon,CV37 6NX,52.19527,-1.71339
Midlands,Staffordshire & Stoke on Trent ICB,X7I8F,Stoke On Trent CDC,University Hospitals of North Midlands NHS Trust,University Hospitals of North Midlands NHS Trust,RJE,Large,Hanley,ST1 5SA,53.02592,-2.18314
Midlands,"Shropshire, Telford & Wrekin ICB",L9G1W,STW CDC (Telford),The Shrewsbury and Telford Hospital NHS Trust,Shrewsbury and Telford Hospital NHS Trust,RXW,Standard,Telford,TF3 3BD,52.67923,-2.4336
Midlands,Derby and Derbyshire ICB,B7W3U,Walton CDC,University Hospitals of Derby and Burton NHS Foundation Trust,University Hospitals of Derby and Burton NHS Foundation Trust,RTG,Spoke,Chesterfield,S40 3HW,53.22129,-1.44188
Midlands,Coventry & Warwickshire ICB,N7O3I,Warwickshire North CDC,George Eliot Hospital NHS Trust,George Eliot Hospital NHS Trust,RLT,Standard,Nuneaton,CV10 7DJ,52.51258,-1.47844
Midlands,Birmingham and Solihull ICB,N7S0C,Washwood Heath CDC,University Hospitals Birmingham NHS Foundation Trust,University Hospitals Birmingham NHS Foundation Trust,RRK,Standard,Birmingham,B8 3SN,52.48832,-1.84949
Midlands,Derby and Derbyshire ICB,O7O4E,Whitworth Hospital CDC,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal Hospital NHS Foundation Trust,RFS,Spoke,Matlock,DE4 2JD,53.15084,-1.57522
Midlands,Herefordshire & Worcestershire ICB,C5R7C,Wye Valley Community Diagnostic and Treatment centre CDC,Wye Valley NHS Trust,Wye Valley NHS Trust,RLQ,Standard,Hereford,HR4 9SB,52.06821,-2.72112
NE&Y,West Yorkshire ICB,H8C3M,Armley Moor Health Centre CDC,Leeds Teaching Hospitals NHS Trust,Leeds Teaching Hospitals NHS Trust,RR8,Spoke,Leeds,LS12 3HD,53.79639,-1.5932
NE&Y,Humber and North Yorkshire ICB,C2N1G,Askham Bar CDC,York and Scarborough Teaching Hospitals NHS Foundation Trust ,York and Scarborough Teaching Hospitals NHS Foundation Trust,RCB,Spoke,York,YO24 1LW,53.93103,-1.11588
NE&Y,South Yorkshire ICB,A6L1J,Barnsley Glassworks CDC ,Barnsley Hospital NHS Foundation Trust,Barnsley Hospital NHS Foundation Trust,RFF,Standard,Barnsley,S70 1GW,53.55216,-1.4786
NE&Y,West Yorkshire ICB,C5W7L,Beeston Village Health Centre CDC,Leeds Teaching Hospitals NHS Trust,Leeds Teaching Hospitals NHS Trust,RR8,Spoke,Beeston,LS11 8PN ,53.7724,-1.56915
NE&Y,North East & North Cumbria ICB,H8C7C,Bishop Auckland CDC ,County Durham and Darlington NHS Foundation Trust​,County Durham and Darlington NHS Foundation Trust,RXP,Large,Bishop Auckland,DL14 6AD,54.65582,-1.67855
NE&Y,West Yorkshire ICB,X8X8H,Bradford District & Craven CDC,Bradford Teaching Hospitals NHS Foundation Trust,Bradford Teaching Hospitals NHS Foundation Trust,RAE,Large,Bradford,BD10 0JE ,53.82381,-1.71135
NE&Y,Humber and North Yorkshire ICB,T4N4U,East Riding Community Hospital CDC,Hull University Teaching Hospitals NHS Trust,Hull University Teaching Hospitals NHS Trust,RWA,Spoke,Beverley,HU17 0FA,53.85283,-0.41325
NE&Y,North East & North Cumbria ICB,L9W0Q,Friarage CDC,South Tees Hospitals NHS Foundation Trust,South Tees Hospitals NHS Foundation Trust,RTR,Spoke,Northallerton,DL6 1JG,54.34233,-1.43053
NE&Y,West Yorkshire ICB,L2D5P,Halifax CDC,Calderdale and Huddersfield NHS Foundation Trust,Calderdale and Huddersfield NHS Foundation Trust,RWY,Spoke,Halifax,HX1 1UX,53.725,-1.86
NE&Y,North East & North Cumbria ICB,V5G2U,Hartlepool CDC,North Tees and Hartlepool NHS Foundation Trust,North Tees and Hartlepool NHS Foundation Trust,RVW,Spoke,Hartlepool,TS24 9AH,54.70238,-1.22784
NE&Y,West Yorkshire ICB,M9Q0F,Huddersfield CDC,Calderdale and Huddersfield NHS Foundation Trust,Calderdale and Huddersfield NHS Foundation Trust,RWY,Standard,Huddersfield,HD1 1QX,53.64816,-1.77937
NE&Y,Humber and North Yorkshire ICB,Z0T1A,Hull and East Riding CDC,Hull University Teaching Hospitals NHS Trust,Hull University Teaching Hospitals NHS Trust,RWA,Standard,Kingston Upon Hull,HU1 3QX,53.7442,-0.34607
NE&Y,West Yorkshire ICB,C8X7R,Leeds Seacroft CDC,Leeds Teaching Hospitals NHS Trust,Leeds Teaching Hospitals NHS Trust,RR8,Spoke,Leeds,LS14 6UH ,53.80659,-1.4709
NE&Y,North East & North Cumbria ICB,Q3N8L,Metrocentre CDC,Gateshead Health NHS Foundation Trust,Gateshead Health NHS Foundation Trust,RR7,Standard,Gateshead,NE11 9YE,54.95593,-1.66971
NE&Y,South Yorkshire ICB,I2B9I,Montagu Hospital CDC,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,RP5,Large,Mexborough,S64 0AZ,53.49981,-1.28495
NE&Y,Humber and North Yorkshire ICB,I2D4B,North East Lincolnshire CDC,Northern Lincolnshire and Goole Hospitals FT ,Northern Lincolnshire and Goole NHS Foundation Trust,RJL,Spoke,Grimsby,DN31 1QL ,53.56628,-0.08687
NE&Y,Humber and North Yorkshire ICB,T5N6J,North Lincolnshire CDC,Northern Lincolnshire and Goole Hospitals FT ,Northern Lincolnshire and Goole NHS Foundation Trust,RJL,Standard,Scunthorpe,DN15 6QU,53.59027,-0.64369
NE&Y,North East & North Cumbria ICB,W6Q4U,Redcar CDC,South Tees Hospitals NHS Foundation Trust,South Tees Hospitals NHS Foundation Trust,RTR,Spoke,Redcar,TS10 4NW,54.5993,-1.06881
NE&Y,Humber and North Yorkshire ICB,Q6T9M,Ripon CDC,Harrogate and District NHS Foundation Trust,Harrogate and District NHS Foundation Trust,RCD,Spoke,Ripon,HG4 2PR,54.13542,-1.5272
NE&Y,South Yorkshire ICB,P9M9O,Rotherham Diagnostics CDC,The Rotherham NHS Foundation Trust,The Rotherham NHS Foundation Trust,RFR,Spoke,Rotherham,S65 2QL,53.43116,-1.33258
NE&Y,Humber and North Yorkshire ICB,F1L2V,Scarborough Gateway CDC,York and Scarborough Teaching Hospitals NHS Foundation Trust ,York and Scarborough Teaching Hospitals NHS Foundation Trust,RCB,Standard,Scarborough,YO11 3TX,54.23393,-0.4073
