CDC Approved Site List 10.11.25,,,,,,,,,,,
Region,ICB,CDC ODS site code,Name of CDC,Host Trust ,Updated NHS Trust name,CDC Trust Code, CDC Archetype,Location,Post code for Permanent Approved Site,Lat,Lon
EoE,Norfolk and Waveney ICB,H5U2Y ,Norfolk and Norwich CDC,Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospitals NHS Foundation Trust,RM1,Spoke,Norwich,NR4 7UY,52.61809,1.22107
EoE,"Bedford, Luton and Milton Keynes ICB",U7P5V,Lloyds Court CDC,Milton Keynes University Hospital NHS Foundation Trust,Milton Keynes University Hospital NHS Foundation Trust,RD8,Spoke,Milton Keynes,MK9 3AP,52.04524,-0.75779
SE,Kent & Medway ICB,J2H6R,West Kent CDC,Maidstone and Tunbridge Wells NHS Trust,Maidstone and Tunbridge Wells NHS Trust,RWF,Standard,Maidstone,ME16 9NT,51.27841,0.47872
SE,"Buckinghamshire, Oxfordshire & Berkshire West ICB",K5C0P,Amersham Hospital CDC,Buckinghamshire Healthcare NHS Trust,Buckinghamshire Healthcare NHS Trust,RXQ,Spoke,Amersham,HP7 0JD,51.66295,-0.62139
SE,Hampshire & Isle of Wight ICB,C7F7J,Island CDC,Isle of Wight NHS Trust,Isle of Wight NHS Trust,R1F,Large,Newport,PO30 5TG,50.71084,-1.30133
SE,Kent & Medway ICB,J6N3U,Swale CDC,Medway NHS Foundation Trust,Medway NHS Foundation Trust,RPA,Standard,Sheerness,ME12 3LT,51.41541,0.79306
SE,Surrey Heartlands ICB,I9V5Q,Milford Community Hospital CDC,Royal Surrey County Hospital NHS Foundation Trust,Royal Surrey NHS Foundation Trust,RA2,Standard,Godalming,GU7 1UG,51.16775,-0.6237
SE,Kent & Medway ICB,F8O5K,North Kent CDC,Dartford and Gravesham NHS Trust ,Dartford and Gravesham NHS Trust,RN7,Standard,Dartford,DA1 1SA,51.44223,0.22685
SE,Surrey Heartlands ICB,O8F2C,Woking Community Hospital CDC,Ashford and St Peters Hospitals NHS Foundation Trust,Ashford and St Peter’s Hospitals NHS Foundation Trust,RTK,Standard,Woking,GU22 7HS ,51.31513,-0.5563
EoE,Norfolk and Waveney ICB,U8B3B,Northgate CDC,James Paget Hospital University NHS FT,James Paget University Hospitals NHS Foundation Trust,RGP,Spoke,Great Yarmouth,NR30 1BU,52.61728,1.73001
EoE,"Bedford, Luton and Milton Keynes ICB",S9T3I,Whitehouse CDC,Milton Keynes University Hospital NHS Foundation Trust,Milton Keynes University Hospital NHS Foundation Trust,RD8,Spoke,Milton Keynes,MK8 1EQ,52.03434,-0.81804
EoE,Mid & South Essex ICB,P7P4L,Southend CDC,Mid and South Essex NHS Foundation Trust ,Mid and South Essex NHS Foundation Trust,RAJ,Spoke,Southend,SS2 5SP ,51.54044,0.71284
SE,Surrey Heartlands ICB,A1H3E,Redhill CDC,Surrey and Sussex Healthcare NHS Trust,Surrey and Sussex Healthcare NHS Trust,RTP,Spoke,Redhill,RH1 1ST,51.2398,-0.16986
EoE,"Bedford, Luton and Milton Keynes ICB",P9A4J,North Bedfordshire CDC,Bedfordshire Hospitals NHS Foundation Trust,Bedfordshire Hospitals NHS Foundation Trust,RC9,Standard,Bedford,MK40 2NU,52.14163,-0.45921
SE,Kent & Medway ICB,V9O3W,Medway CDC,Medway NHS Foundation Trust,Medway NHS Foundation Trust,RPA,Spoke,Rochester,ME1 2EL,51.37936,0.50746
EoE,Mid & South Essex ICB,V0Y1W,Thurrock CDC,Mid and South Essex NHS Foundation Trust,Mid and South Essex NHS Foundation Trust,RAJ,Standard,Thurrock,RM16 2PX,51.49625,0.33599
EoE,Mid & South Essex ICB,U3P4N,Braintree CDC,Mid and South Essex NHS Foundation Trust,Mid and South Essex NHS Foundation Trust,RAJ,Spoke,Braintree,CM7 2QU,51.87959,0.54113
EoE,Herts and West Essex ICB,G8Z9O,St Albans CDC,West Hertfordshire Hospitals NHS Trust,West Hertfordshire Hospitals NHS Trust,RWG,Spoke,St Albans,AL3 5PN,51.76008,-0.34394
SE,"Buckinghamshire, Oxfordshire & Berkshire West ICB",Y2X1G,Bracknell Healthspace CDC,Royal Berkshire NHS Foundation Trust ,Royal Berkshire NHS Foundation Trust,RHW,Spoke,Bracknell,RG12 9BG,51.41326,-0.73598
SE,Frimley ICB,O0A9I,Slough CDC,Frimley Health Foundation Trust,Frimley Health NHS Foundation Trust,RDU,Standard,Slough,SL1 2BJ,51.50536,-0.59376
SE,Kent & Medway ICB,A1K2T,Thanet CDC,East Kent Hospitals University NHS Foundation Trust (EKHUFT),East Kent Hospitals University NHS Foundation Trust,RVV,Spoke,Broadstairs,CT10 2WA ,51.3599,1.40698
EoE,Herts and West Essex ICB,J2H6R,West Essex CDC  ,The Princess Alexandra Hospital NHS Trust,The Princess Alexandra Hospital NHS Trust,RQW,Standard,Epping,CM16 6TN,51.70429,0.12393
SE,Sussex ICB,K9X8O,Queen Victoria Hospital CDC,Queen Victoria Hospital NHS Foundation Trust,Queen Victoria Hospital NHS Foundation Trust,RPC,Standard,East Grinstead,RH19 3DZ,51.13511,-0.0029
EoE,Suffolk & North East Essex ICB,A1E1N,Ipswich CDC,East Suffolk and North Essex NHS Foundation Trust,East Suffolk and North Essex NHS Foundation Trust,RDE,Spoke,Ipswich ,IP1 1HT,52.05792,1.15031
SE,Hampshire & Isle of Wight ICB,L7P6U,Portsmouth CDC,Portsmouth Hospitals University NHS Trust,Portsmouth Hospitals University NHS Trust,RHU,Standard,Portsmouth,PO3 6AD,50.8,-1.064
EoE,Cambridgeshire & Peterborough ICB,G8S0E,Peterborough CDC,North West Anglia NHS Foundation Trust,North West Anglia NHS Foundation Trust,RGN,Spoke,Peterborough,PE1 5DU,52.575,-0.231
SE,Sussex ICB,R6F0K,Crawley Collaborative CDC,Surrey and Sussex Healthcare NHS Trust,Surrey and Sussex Healthcare NHS Trust,RTP,Standard,Crawley,RH11 7DH,51.1166,-0.19757
SE,Hampshire & Isle of Wight ICB,R1O0N,Royal South Hants CDC,Hampshire and Isle of Wight Healthcare NHS Foundation Trust,Hampshire and Isle of Wight Healthcare NHS Foundation Trust,RW1,Standard,Southampton,SO14 0YG,50.91239,-1.39708
EoE,Mid & South Essex ICB,X1D4N,Pitsea CDC,Mid and South Essex NHS Foundation Trust,Mid and South Essex NHS Foundation Trust,RAJ,Large,Pitsea,SS13 3DU,51.56615,0.50405
SE,Sussex ICB,E8L5B,University of Chichester Bognor CDC,University Hospitals Sussex NHS Foundation Trust,University Hospitals Sussex NHS Foundation Trust,RYR,Spoke,Bognor Regis,PO21 1HR,50.78856,-0.6653
SW,Somerset ICB,C0U5C,Bridgewater CDC,Somerset NHS Foundation Trust,Somerset NHS Foundation Trust,RH5,Spoke,Bridgewater,TA6 4GU,51.14059,-2.97418
SW,"Bath & North East Somerset, Swindon & Wiltshire ICB",B4B4S,BSW Banes Locality CDC,Royal United Hospitals Bath NHS FT,Royal United Hospitals Bath NHS Foundation Trust,RD1,Large,Bath,BA2 8SQ,51.31132,-2.41652
SW,Cornwall & The Isles Of Scilly ICB,J3K6R,Camborne and Redruth CDC,Royal Cornwall Hospitals NHS Trust,Royal Cornwall Hospitals NHS Trust,REF,Large,Redruth,TR15 3ER,50.22938,-5.24438
SW,Dorset ICB,E7P1H,CDC Poole @ Dorset Health Village,University Hospitals Dorset NHS foundation Trust,University Hospitals Dorset NHS Foundation Trust,R0D,Large,Poole,BH15 2JB ,50.72198,-1.97311
SW,Cornwall & The Isles Of Scilly ICB,D5M4B,CIOS Bodmin CDC,Royal Cornwall Hospitals NHS Trust ,Royal Cornwall Hospitals NHS Trust,REF,Standard,Bodmin,PL31 2QT,50.46754,-4.74115
SW,Devon ICB,D0W4Z,Devon and Torbay CDC,Torbay and South Devon NHS Foundation Trust,Torbay and South Devon NHS Foundation Trust,RA9,Standard,Torquay,TQ1 3AQ,50.46715,-3.52818
SW,Devon ICB,D7D3Y,Devon Exeter Nightingale CDC,Royal Devon And Exeter NHS Foundation Trust,Royal Devon University Healthcare NHS Foundation Trust,RH8,Standard,Exeter,EX2 7JG,50.725,-3.465
SW,Dorset ICB,J9W8Y,"Dorset Health Village, Boscombe, AECC CDC",University Hospitals Dorset NHS foundation Trust,University Hospitals Dorset NHS Foundation Trust,R0D,Spoke,Boscombe,BH5 2DF,50.72725,-1.82876
SW,Dorset ICB,V1W2D,"Dorset Health Village, Poole, Beales CDC",University Hospitals Dorset NHS foundation Trust,University Hospitals Dorset NHS Foundation Trust,R0D,Spoke,Poole,BH15 1SQ,50.7181,-1.9799
SW,Dorset ICB,T2F2W,"Dorset Health Village, South Walks CDC",Dorset County Hospital NHS foundation Trust ,Dorset County Hospital NHS Foundation Trust,RBD,Spoke,Dorchester,DT1 1UZ,50.71253,-2.43546
SW,Dorset ICB,C4Q4G,"Dorset Health Village, Weymouth CDC",Dorset County Hospital NHS foundation Trust ,Dorset County Hospital NHS Foundation Trust,RBD,Spoke,Weymouth,DT4 7TB,50.62105,-2.45105
SW,Gloucestershire ICB,F7F9Z,Gloucestershire Quayside CDC,Gloucestershire Hospitals NHS Foundation Trust,Gloucestershire Hospitals NHS Foundation Trust,RTE,Standard,Gloucester,GL1 2TZ,51.86619,-2.25159
SW,"Bristol, North Somerset, East Gloucestershire ICB",Q9T4V,North Bristol CDC,North Bristol NHS Trust,North Bristol NHS Trust,RVJ,Large,Bristol,BS34 5TL,51.53053,-2.5972
SW,Devon ICB,N6I0G,Plymouth CDC,University Hospitals Plymouth,University Hospitals Plymouth NHS Trust,RK9,Standard,Plymouth,PL1 1TZ,50.37124,-4.15197
SW,"Bath & North East Somerset, Swindon & Wiltshire ICB",K1W4U,Salisbury CDC,Salisbury Foundation Trust,Salisbury NHS Foundation Trust,RNZ,Spoke,Salisbury,SP1 3SL,51.072,-1.798
SW,Somerset ICB,N9U8C,Somerset East CDC,Somerset NHS Foundation Trust,Somerset NHS Foundation Trust,RH5,Large,Yeovil,BA21 4AT,50.94484,-2.63471
SW,Somerset ICB,R3H5P,Somerset West CDC,Somerset NHS Foundation Trust,Somerset NHS Foundation Trust,RH5,Standard,Taunton,TA1 2PX,51.01409,-3.0681
SW,Somerset ICB,I8O6Y,South Petherton CDC,Somerset NHS Foundation Trust,Somerset NHS Foundation Trust,RH5,Spoke,South Petherton,TA24 6DF,51.20011,-3.46191
SW,Somerset ICB,I1E2U,Taunton Central CDC,Somerset NHS Foundation Trust,Somerset NHS Foundation Trust,RH5,Spoke,Taunton,TA1 1NW,51.01917,-3.11292
SW,Cornwall & The Isles Of Scilly ICB,D8G6B,West Cornwall CDC,Royal Cornwall Hospitals NHS Trust,Royal Cornwall Hospitals NHS Trust,REF,Spoke,Penzance,TR18 2PF,50.12206,-5.54298
SW,Somerset ICB,H7S0B,West Mendip CDC,Somerset NHS Foundation Trust,Somerset NHS Foundation Trust,RH5,Spoke,West Mendip,TA1 2PX,51.01409,-3.0681
SW,"Bath & North East Somerset, Swindon & Wiltshire ICB",I3G3P,West Swindon CDC,Great Western Hospitals NHS Foundation Trust,Great Western Hospitals NHS Foundation Trust,RN3,Spoke,Swindon,SN5 7DL,51.55836,-1.82876
SW,"Bristol, North Somerset, East Gloucestershire ICB",O5F8M,Weston CDC,University Hospitals Bristol and Weston NHS FT,University Hospitals Bristol and Weston NHS Foundation Trust,RA7,Standard,"Weston-Super-Mare,",BS23 3SJ,51.3313,-2.96512
